date,company,role_title,role_category,location,source,ats,jd_brief,matched_skills,missing_skills,ats_score,resume_variant,tailored,resume_file,job_url,status,apply_result
2026-09-02,Amneal Pharmaceuticals,"Senior Executive, Lab QA",other,"Ahmedabad, Gujarat",adzuna,,"Job Description Review analytical data for Raw Materials (RM), Packaging Materials (PM), in-process samples, Finished Products (FP), stability samples, working standards, reference standards, and other test samples. Revi…",,,,,no,,https://www.adzuna.in/details/5860970721?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,Happiest Resume,Instrument Chemist,other,"Ahmedabad, Gujarat",adzuna,,Key Responsibilities 1. Instrument Operation &amp; Testing  Execute sample analysis using Gas Chromatography (GC) and High-Performance Liquid Chromatography (HPLC).  Perform trace-level quantification using hyphenated …,,,,,no,,https://www.adzuna.in/details/5855732952?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,OSTTRA,"Apprentice, Metals & Mining (Data Operations)",other,"Ahmedabad, Gujarat",adzuna,,About the Role: Grade Level (for internal use): 05 The Team: Metals & Mining Industry Content collects data for global mining industry right from early stage exploration projects to mines and processing facilities. Addit…,,,,,no,,https://www.adzuna.in/details/5856947534?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,S&P Global,"Apprentice, Metals & Mining",other,"Ahmedabad, Gujarat",adzuna,,About the Role: Grade Level (for internal use): 05 The Team: Metals & Mining Industry Content collects data for global mining industry right from early stage exploration projects to mines and processing facilities. Addit…,,,,,no,,https://www.adzuna.in/details/5856453140?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,Anblicks Solutions,Big Data Engineer,other,"Ahmedabad, Gujarat",adzuna,,"Role & responsibilities Integral team member of our Data Engineering team responsible for design and development of Big data solutions Partner with domain experts, product managers, analyst, and data scientists to develo…",,,,,no,,https://www.adzuna.in/details/5842589841?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,YipitData,Data QA Specialist,other,"Ahmedabad, Gujarat",adzuna,,"About Us: YipitData is the market-leading data and analytics firm. We analyze billions of data points every day to provide accurate, detailed insights across industries, including consumer brands, technology, software, a…",,,,,no,,https://www.adzuna.in/details/5040652536?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,EXL,Manager,other,"Ahmedabad, Gujarat",adzuna,,Description EXL Decision Analytics EXL (NASDAQ:EXLS) is a leading operations management and analytics company that helps businesses enhance growth and profitability in the face of relentless competition and continuous di…,,,,,no,,https://www.adzuna.in/details/5836861295?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,EXL,1985212-Lead Assistant Manager,other,"Ahmedabad, Gujarat",adzuna,,Description EXL Decision Analytics EXL (NASDAQ:EXLS) is a leading operations management and analytics company that helps businesses enhance growth and profitability in the face of relentless competition and continuous di…,,,,,no,,https://www.adzuna.in/details/5838478215?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,Squarcell Resource India Pvt,Technical Support Anyalyst,other,"Ahmedabad, Gujarat",adzuna,,Position Responsibilities ● Answer technical support phone calls on software/hardware. ● Respond in writing via email to cases entered into an online self service portal. ● Gather and document all information pertaining …,,,,,no,,https://www.adzuna.in/details/4259020287?utm_medium=api&utm_source=93a24393,discovered_not_prepared,
2026-09-02,SKIPS University,Assistant Professor of Computer Science,other,"Ahmedabad, Gujarat",adzuna,,"Job Summary We are seeking a highly motivated and qualified Assistant Professor – Computer Science to join our academic team. The candidate will be responsible for teaching undergraduate and/or postgraduate students, dev…",,,,,no,,https://www.adzuna.in/land/ad/5854366226?se=rHYTrnem8RGUNa3mkcr13g&utm_medium=api&utm_source=93a24393&v=489820ACC755BE7FF58D67DE393566074CE57CC0,discovered_not_prepared,
